Dist Code,Year,State Code,State Name,Dist Name,JANUARY MAXIMUM (Centigrate),FEBRUARY MAXIMUM (Centigrate),MARCH MAXIMUM (Centigrate),APRIL MAXIMUM (Centigrate),MAY MAXIMUM (Centigrate),JUNE MAXIMUM (Centigrate),JULY MAXIMUM (Centigrate),AUGUST MAXIMUM (Centigrate),SEPTEMBER MAXIMUM (Centigrate),OCTOBER MAXIMUM (Centigrate),NOVEMBER MAXIMUM (Centigrate),DECEMBER MAXIMUM (Centigrate)
65,1966,5,Karnataka,Kolar,27.29,30.3,33.56,34.45,33.86,30.65,28.64,29.2,28.36,27.5,26.81,25.62
65,1967,5,Karnataka,Kolar,27.19,29.98,32.6,34.63,33.41,30.18,28.14,28.12,28.47,26.75,25.67,25.86
65,1968,5,Karnataka,Kolar,26.72,30.03,32.29,33.12,33.36,30.41,28.15,29.38,28.48,27.73,25.98,25.8
65,1969,5,Karnataka,Kolar,26.91,30.12,33.96,34.74,33.37,31.01,28.55,28.61,28.98,27.38,26.93,24.69
65,1970,5,Karnataka,Kolar,26.99,29.86,33.37,33.86,32.86,29.63,28.58,27.76,28.57,27.39,25.18,25.11
65,1971,5,Karnataka,Kolar,26.68,30.11,32.4,34.35,32.94,28.47,28.58,28.43,28.43,27.42,26.02,24.32
65,1972,5,Karnataka,Kolar,26.47,30.02,33.28,34.42,32.62,31.89,29.36,29.77,29.43,27.66,26.81,25.89
65,1973,5,Karnataka,Kolar,28.61,31.12,33.96,35.32,34.74,30.68,28.82,27.83,28.9,27.5,26.47,25.1
65,1974,5,Karnataka,Kolar,27.08,30.49,33.59,34.83,33.13,30.64,29.12,28.68,28.27,27.98,26.73,26.21
65,1975,5,Karnataka,Kolar,27.22,30.71,32.96,35.05,33.78,29.72,28.26,27.98,27.8,27.2,25.4,25.25
65,1976,5,Karnataka,Kolar,26.11,29.16,33.77,33.95,34.12,31.26,28.78,28.41,28.86,28.09,25.79,26.03
65,1977,5,Karnataka,Kolar,27.73,29.96,33.42,34.03,32.37,30.39,29.15,28.99,29.58,26.84,26.51,25.96
65,1978,5,Karnataka,Kolar,27.59,29.65,33.1,34.25,33.76,29.74,28.13,27.77,28.5,28.05,27.05,24.84
65,1979,5,Karnataka,Kolar,27.18,29.83,32.63,34.63,33.19,30.64,28.53,28.9,28.08,28.21,25.79,26.08
65,1980,5,Karnataka,Kolar,27.99,30.54,33.23,34.33,34.54,29.91,29.16,29.41,29.41,28.27,26.8,26.38
65,1981,5,Karnataka,Kolar,26.75,30.33,33.09,34.52,33.74,29.8,29.15,28.83,27.99,27.41,26.31,25.4
65,1982,5,Karnataka,Kolar,27.22,30.38,33.46,34.52,33.14,30.36,29.44,29.21,29.67,28.67,26.27,25.76
65,1983,5,Karnataka,Kolar,27.5,31.56,34.69,35.2,34.15,31.72,29.65,28.44,28.32,28.14,26.87,26.1
65,1984,5,Karnataka,Kolar,26.19,29.59,31.46,33.62,34.76,30.57,28.51,29.61,29.07,28.17,26.41,26.63
65,1985,5,Karnataka,Kolar,27.09,30.76,34.01,34.83,34.35,29.81,28.63,29.01,29.48,28.01,25.79,26.03
65,1986,5,Karnataka,Kolar,26.19,29.65,32.89,35.05,34.55,30.77,29.91,28.58,29.43,28.77,27.28,25.86
65,1987,5,Karnataka,Kolar,27.62,29.89,32.79,34.7,33.55,31.98,30.34,29.65,30.38,28.28,27.31,25.5
65,1988,5,Karnataka,Kolar,27.52,31.35,33.89,33.63,34.83,31.73,28.97,28.44,28.77,28.95,26.23,26.93
65,1989,5,Karnataka,Kolar,27.59,30.82,32.63,34.75,34.71,30.32,28.28,29.4,29.17,28.5,26.52,26.39
65,1990,5,Karnataka,Kolar,27.21,30.91,33.53,35.28,32,30.43,29.34,28.81,29.69,28.09,27.16,26.25
65,1991,5,Karnataka,Kolar,27.99,30.63,34.28,34.92,34.55,29.61,28.58,28.68,29.97,27.87,26.34,26.12
65,1992,5,Karnataka,Kolar,27.01,31.26,33.96,34.96,33.87,30.89,29.4,29.09,29.47,28.7,26.41,25.83
65,1993,5,Karnataka,Kolar,27.91,30.96,33.69,35.06,34.67,31.52,29.65,29.81,29.67,28.15,26.34,24.83
65,1994,5,Karnataka,Kolar,28.11,30.78,34.48,34.43,34.97,31.19,28.65,29.44,30.07,28.28,25.92,25.15
65,1995,5,Karnataka,Kolar,27.44,31.15,33.7,34.55,32.5,31.92,29.04,29.3,29.67,28.82,27.6,26.21
65,1996,5,Karnataka,Kolar,28.59,31.3,35.13,34.63,35.37,30.55,28.53,28.77,28.68,28.47,27.11,26.09
65,1997,5,Karnataka,Kolar,27.69,31.04,34.26,33.26,34.43,32.06,29.75,29.6,29.76,29.12,27.15,26.9
65,1998,5,Karnataka,Kolar,29.32,32.55,35.89,35.11,35.18,32.48,29.45,29.12,29.28,28.54,27.55,25.76
65,1999,5,Karnataka,Kolar,28.39,31.23,35.33,35.01,32.48,30.6,28.43,29.27,30.11,28.08,27.41,26.89
65,2000,5,Karnataka,Kolar,28.03,30.52,33.8,35.23,33.98,29.63,29.07,27.97,29.27,28.52,27.8,25.3
65,2001,5,Karnataka,Kolar,27.98,32.03,34.23,33.31,34.67,30.71,29.59,29.37,29.54,28.05,27.04,26
65,2002,5,Karnataka,Kolar,28.11,30.36,34.18,35.02,34.37,30.91,30.18,29.77,30.87,28.8,26.98,26.75
65,2003,5,Karnataka,Kolar,28.41,31.89,34.21,34.99,36.22,32.1,29.2,29.2,30.81,28.75,27.31,26.73
65,2004,5,Karnataka,Kolar,28.1,30.73,34.29,35.17,31.65,30.58,29.06,30.01,29.01,28.13,26.43,26.57
65,2005,5,Karnataka,Kolar,28.87,31.4,34.42,33.83,34.63,31.28,29.22,29.48,29.26,27.9,25.49,25.72
65,2006,5,Karnataka,Kolar,27.6,29.81,33.48,34.9,34.19,30.92,30.27,30.04,29.85,28.87,26.92,26.12
65,2007,5,Karnataka,Kolar,27.97,30.52,34.15,34.37,34.56,30.38,29.55,28.77,29.36,28.81,26.57,26.15
65,2008,5,Karnataka,Kolar,27.83,30.9,31.83,34.15,34.41,31.25,29.55,28.91,29.25,28.06,27.01,26.27
65,2009,5,Karnataka,Kolar,27.71,31.37,33.87,35.05,34.22,31.1,30.05,30.07,29.61,29.82,27.64,26.81
65,2010,5,Karnataka,Kolar,28.49,31.49,34.9,35.63,34.8,31.26,28.8,29.03,29.49,28.87,27.08,25.83
65,2011,5,Karnataka,Kolar,27.59,29.95,33.66,33.63,34.39,31.32,29.59,29.19,30.67,28.86,26.47,26.01
