"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"65","1966","5","Karnataka","Kolar","15.91","16.88","19.27","21.28","21.54","20.43","20.46","20.34","19.61","18.78","17.19","15.17"
"65","1967","5","Karnataka","Kolar","14.41","14.96","17.81","20.96","21.79","20.86","19.36","19.27","19.33","18.64","15.35","15.7"
"65","1968","5","Karnataka","Kolar","14.54","16.02","18.6","20.55","21.54","21.08","20.47","20.43","19.73","18.61","17.16","15.15"
"65","1969","5","Karnataka","Kolar","14.43","16.4","19.07","21.57","21.44","21.08","20.07","20.35","19.34","18.87","17.21","15.54"
"65","1970","5","Karnataka","Kolar","15.21","16.44","18.87","21.89","21.84","20.51","19.99","19.61","19.42","18.98","17.26","13.16"
"65","1971","5","Karnataka","Kolar","15.09","16.0","18.0","20.78","21.32","20.04","20.09","19.68","19.69","18.5","15.49","14.36"
"65","1972","5","Karnataka","Kolar","13.49","15.6","16.98","21.25","21.6","21.57","20.27","20.31","20.68","19.34","16.99","16.14"
"65","1973","5","Karnataka","Kolar","14.22","16.6","18.67","22.25","22.01","21.15","20.94","19.68","19.66","19.28","16.55","14.85"
"65","1974","5","Karnataka","Kolar","13.9","14.97","18.2","21.56","20.81","20.31","19.93","19.72","19.33","18.27","15.91","13.56"
"65","1975","5","Karnataka","Kolar","13.94","16.6","18.87","21.28","21.66","20.59","19.27","20.23","19.06","18.78","16.18","13.59"
"65","1976","5","Karnataka","Kolar","13.65","15.07","17.88","20.79","21.9","20.64","19.69","19.55","19.91","19.37","18.07","15.18"
"65","1977","5","Karnataka","Kolar","13.55","16.54","18.62","21.76","21.45","20.96","20.17","19.74","19.93","19.52","18.09","14.91"
"65","1978","5","Karnataka","Kolar","15.01","16.83","18.7","22.08","21.94","20.62","19.94","20.22","19.65","19.73","17.53","16.79"
"65","1979","5","Karnataka","Kolar","16.09","17.91","19.44","22.36","22.17","21.82","20.64","20.85","20.34","19.39","18.57","16.53"
"65","1980","5","Karnataka","Kolar","14.81","16.92","19.54","22.46","22.92","20.88","20.27","19.88","20.26","19.76","17.58","15.83"
"65","1981","5","Karnataka","Kolar","15.87","16.51","19.0","22.25","22.32","21.48","20.66","20.02","20.05","19.99","17.29","15.35"
"65","1982","5","Karnataka","Kolar","14.74","16.76","19.37","22.06","22.32","21.14","20.46","20.35","19.92","19.65","18.25","15.6"
"65","1983","5","Karnataka","Kolar","14.91","17.94","19.9","21.83","22.73","21.79","20.86","20.38","19.27","19.12","16.25","15.56"
"65","1984","5","Karnataka","Kolar","17.01","15.49","19.47","21.76","22.34","20.84","19.32","19.96","19.53","18.66","16.69","15.18"
"65","1985","5","Karnataka","Kolar","16.31","16.94","19.42","22.37","22.13","20.28","19.45","19.75","19.73","18.49","16.67","15.98"
"65","1986","5","Karnataka","Kolar","15.41","16.53","19.7","21.68","22.13","21.14","20.72","20.23","20.48","19.16","17.06","16.7"
"65","1987","5","Karnataka","Kolar","15.34","15.67","18.6","22.23","22.03","21.15","21.58","20.1","20.53","19.56","17.69","16.55"
"65","1988","5","Karnataka","Kolar","15.24","17.13","20.2","21.96","22.3","21.11","19.98","20.18","19.43","19.33","17.2","14.48"
"65","1989","5","Karnataka","Kolar","14.7","15.0","18.44","21.58","21.69","20.19","19.69","19.45","19.43","19.48","17.3","15.23"
"65","1990","5","Karnataka","Kolar","15.33","17.39","20.14","22.11","21.07","20.3","19.76","19.96","19.85","19.17","17.44","15.9"
"65","1991","5","Karnataka","Kolar","16.21","17.21","19.29","21.86","22.33","20.69","20.19","19.93","20.03","19.56","16.91","14.96"
"65","1992","5","Karnataka","Kolar","14.13","16.04","17.77","21.09","21.35","20.97","20.41","19.64","19.53","18.89","17.99","14.38"
"65","1993","5","Karnataka","Kolar","14.43","15.74","18.6","21.09","21.75","20.8","19.97","19.55","19.12","19.04","17.62","15.58"
"65","1994","5","Karnataka","Kolar","15.03","16.66","18.59","21.67","21.85","20.87","19.77","19.78","19.52","18.96","16.7","14.62"
"65","1995","5","Karnataka","Kolar","14.76","16.54","18.5","21.38","20.87","21.2","20.25","20.24","19.73","18.8","17.98","15.68"
"65","1996","5","Karnataka","Kolar","14.9","15.88","17.84","20.97","22.05","20.72","20.95","20.21","20.04","18.35","17.49","14.93"
"65","1997","5","Karnataka","Kolar","14.91","16.02","18.37","21.19","22.01","21.63","21.17","20.55","20.02","19.11","18.43","17.45"
"65","1998","5","Karnataka","Kolar","16.43","17.33","18.6","22.23","22.26","21.86","20.86","20.47","19.94","18.92","17.52","15.91"
"65","1999","5","Karnataka","Kolar","14.21","16.41","18.64","21.45","20.95","20.28","20.45","20.32","19.46","19.56","17.19","14.54"
"65","2000","5","Karnataka","Kolar","15.75","17.6","18.4","21.67","21.55","20.71","19.88","20.41","20.33","19.1","17.18","14.77"
"65","2001","5","Karnataka","Kolar","15.52","17.94","19.44","20.43","22.67","20.95","20.83","20.57","20.19","19.07","17.71","15.47"
"65","2002","5","Karnataka","Kolar","15.65","16.27","19.39","22.14","22.36","21.15","21.42","20.97","21.52","19.82","17.65","16.21"
"65","2003","5","Karnataka","Kolar","15.96","17.8","19.41","22.11","24.21","22.33","20.44","20.4","21.46","19.77","17.98","16.2"
"65","2004","5","Karnataka","Kolar","15.65","16.64","19.49","22.29","19.64","20.82","20.3","21.2","19.66","19.15","17.1","16.03"
"65","2005","5","Karnataka","Kolar","16.42","17.31","19.63","20.95","22.63","21.52","20.46","20.67","19.91","18.92","16.16","15.19"
"65","2006","5","Karnataka","Kolar","15.14","15.71","18.69","22.02","22.18","21.16","21.51","21.24","20.5","19.89","17.59","15.59"
"65","2007","5","Karnataka","Kolar","15.51","16.43","19.35","21.49","22.56","20.62","20.79","19.96","20.01","19.83","17.24","15.61"
"65","2008","5","Karnataka","Kolar","15.37","16.81","17.04","21.27","22.4","21.48","20.79","20.11","19.9","19.08","17.68","15.73"
"65","2009","5","Karnataka","Kolar","15.26","17.28","19.08","22.18","22.21","21.34","21.29","21.27","20.26","20.84","18.31","16.28"
"65","2010","5","Karnataka","Kolar","16.04","17.4","20.11","22.75","22.79","21.5","20.04","20.23","20.14","19.89","17.75","15.3"
"65","2011","5","Karnataka","Kolar","15.13","15.86","18.87","20.75","22.39","21.56","20.84","20.38","21.32","19.88","17.14","15.48"
"65","2012","5","Karnataka","Kolar","15.13","16.8","19.89","21.76","22.66","22.32","21.28","20.82","21.14","19.74","18.39","16.83"
"65","2013","5","Karnataka","Kolar","16.41","17.1","19.51","22.58","22.87","21.1","20.05","20.77","19.66","20.11","18.27","16.04"
"65","2014","5","Karnataka","Kolar","18.86","16.52","18.83","22.54","22.47","22.64","21.33","20.86","20.88","19.96","17.76","16.57"
"65","2015","5","Karnataka","Kolar","18.86","16.52","18.83","22.54","22.47","22.64","21.33","20.86","20.88","19.96","17.11","16.77"
"66","1966","5","Karnataka","Tumkur","16.78","18.11","20.11","21.51","21.2","20.29","20.47","20.25","19.39","19.32","17.8","15.89"
"66","1967","5","Karnataka","Tumkur","15.42","16.26","18.89","21.25","21.81","20.68","19.36","19.23","19.06","19.06","16.21","16.65"
