"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"65","1966","5","Karnataka","Kolar","17.49","15.75","14.35","13.17","12.19","11.34","10.61","9.97","72.07","113.99","150.79","106.09"
"65","1967","5","Karnataka","Kolar","27.3","0.0","12.39","12.02","66.89","39.88","112.01","33.55","68.41","84.09","38.89","54.99"
"65","1968","5","Karnataka","Kolar","0.0","4.64","6.06","51.48","41.1","54.29","25.42","21.9","140.94","108.25","28.33","22.43"
"65","1969","5","Karnataka","Kolar","0.0","0.02","0.87","19.07","89.78","30.11","46.91","127.87","33.4","231.45","96.13","43.36"
"65","1970","5","Karnataka","Kolar","52.48","38.63","30.85","25.77","22.19","19.5","17.41","15.73","14.46","65.19","46.44","34.39"
"65","1971","5","Karnataka","Kolar","27.84","23.55","20.46","18.13","16.29","14.8","13.57","15.53","18.87","67.5","45.99","34.6"
"65","1972","5","Karnataka","Kolar","28.13","23.81","20.7","18.34","16.49","14.97","13.72","12.66","30.44","84.52","59.58","51.19"
"65","1973","5","Karnataka","Kolar","37.68","30.18","25.29","21.81","19.2","17.17","15.54","14.2","19.95","59.49","41.55","32.04"
"65","1974","5","Karnataka","Kolar","0.03","0.0","0.22","8.74","97.59","27.23","90.22","30.97","213.73","177.45","10.48","0.2"
"65","1975","5","Karnataka","Kolar","1.38","0.82","6.21","8.11","72.19","38.01","127.69","71.26","138.2","229.57","72.42","4.43"
"65","1976","5","Karnataka","Kolar","1.57","0.0","0.2","36.26","32.7","25.45","67.54","134.01","37.5","105.33","94.35","1.71"
"65","1977","5","Karnataka","Kolar","0.06","1.18","7.53","51.64","76.91","67.97","63.12","108.65","88.17","207.73","107.65","0.4"
"65","1978","5","Karnataka","Kolar","1.22","8.68","0.26","51.52","79.19","26.05","86.84","37.81","171.37","118.96","84.75","45.85"
"65","1979","5","Karnataka","Kolar","1.22","20.12","1.06","20.04","74.13","65.47","74.16","64.1","202.31","98.48","142.78","3.29"
"65","1980","5","Karnataka","Kolar","0.0","0.0","2.24","22.38","58.01","34.4","50.34","56.94","112.88","84.66","43.18","9.93"
"65","1981","5","Karnataka","Kolar","3.6","0.0","20.71","19.2","81.55","24.89","79.19","93.81","210.24","161.53","35.02","9.51"
"65","1982","5","Karnataka","Kolar","0.0","0.0","2.24","15.91","59.45","63.59","36.7","31.91","92.79","81.01","67.77","3.39"
"65","1983","5","Karnataka","Kolar","0.0","0.0","6.55","7.3","81.21","104.77","77.32","93.09","190.55","55.01","12.81","56.89"
"65","1984","5","Karnataka","Kolar","1.5","13.97","31.52","23.31","29.61","17.52","127.82","16.7","126.68","140.06","24.89","23.92"
"65","1985","5","Karnataka","Kolar","8.26","0.33","6.58","20.99","44.33","42.58","66.59","49.11","138.05","78.23","65.8","10.51"
"65","1986","5","Karnataka","Kolar","21.13","6.8","0.24","4.82","54.21","53.75","38.63","47.24","228.13","129.57","70.48","13.83"
"65","1987","5","Karnataka","Kolar","0.31","0.0","10.96","31.39","43.52","49.42","33.78","78.72","59.79","150.14","36.33","52.52"
"65","1988","5","Karnataka","Kolar","0.0","0.07","0.62","59.76","103.78","17.82","133.2","141.21","219.24","26.02","46.19","24.46"
"65","1989","5","Karnataka","Kolar","0.38","0.0","7.77","6.31","46.16","40.18","119.97","35.85","161.56","178.45","30.82","8.41"
"65","1990","5","Karnataka","Kolar","2.9","0.86","5.96","12.97","99.69","26.26","32.67","56.2","97.01","133.51","34.37","9.22"
"65","1991","5","Karnataka","Kolar","1.23","1.77","0.19","33.12","85.55","96.95","46.64","72.76","112.17","225.64","131.62","0.82"
"65","1992","5","Karnataka","Kolar","1.05","0.0","0.0","6.43","53.43","59.92","51.97","59.89","94.0","115.12","59.87","6.12"
"65","1993","5","Karnataka","Kolar","0.0","0.13","6.94","19.29","97.67","60.78","53.79","63.1","102.59","156.67","47.34","53.58"
"65","1994","5","Karnataka","Kolar","0.18","3.39","0.61","20.41","85.58","31.14","63.23","47.32","58.08","169.96","46.93","11.16"
"65","1995","5","Karnataka","Kolar","14.81","0.05","6.85","22.48","84.82","45.3","72.58","135.7","143.48","119.46","24.47","0.67"
"65","1996","5","Karnataka","Kolar","0.31","0.18","0.75","47.36","53.8","86.89","36.66","123.5","108.88","105.47","16.65","31.23"
"65","1997","5","Karnataka","Kolar","4.23","0.0","8.16","39.95","38.37","49.97","25.86","79.4","130.96","241.76","137.21","31.34"
"65","1998","5","Karnataka","Kolar","0.14","0.38","0.27","35.97","80.11","25.68","123.96","159.34","120.42","165.79","57.0","35.21"
"65","1999","5","Karnataka","Kolar","0.13","3.79","0.42","44.29","96.19","47.05","55.5","58.17","99.56","173.8","54.74","13.51"
"65","2000","5","Karnataka","Kolar","0.43","3.12","0.14","41.52","48.91","47.6","67.54","126.29","154.16","204.6","33.26","16.02"
"65","2001","5","Karnataka","Kolar","0.93","0.19","0.64","69.72","37.1","21.62","75.36","45.53","140.09","167.13","35.73","16.27"
"65","2002","5","Karnataka","Kolar","2.71","0.29","0.08","4.28","108.03","71.83","27.45","41.64","70.27","175.9","47.3","5.14"
"65","2003","5","Karnataka","Kolar","0.03","0.9","3.74","39.99","9.28","43.79","75.35","79.89","59.6","177.71","24.11","3.58"
"65","2004","5","Karnataka","Kolar","5.39","0.68","1.39","34.3","134.41","42.83","141.06","39.69","183.34","158.0","29.77","0.86"
"65","2005","5","Karnataka","Kolar","1.6","3.1","3.67","46.92","101.48","44.25","92.84","100.78","114.34","317.64","68.87","24.76"
"65","2006","5","Karnataka","Kolar","1.04","0.0","32.29","25.07","87.85","74.91","43.07","41.84","63.74","130.5","43.01","0.83"
"65","2007","5","Karnataka","Kolar","0.07","3.21","0.17","65.22","67.2","38.06","128.84","120.68","160.41","144.36","30.93","36.21"
"65","2008","5","Karnataka","Kolar","2.12","8.49","25.57","23.75","42.97","56.16","140.23","143.34","94.6","202.33","75.75","1.54"
"65","2009","5","Karnataka","Kolar","0.93","0.0","6.66","22.5","97.4","86.3","20.78","82.57","188.39","27.87","77.95","27.33"
"65","2010","5","Karnataka","Kolar","0.32","0.06","1.78","46.86","75.08","62.44","73.94","78.09","127.26","129.06","109.92","14.13"
"65","2011","5","Karnataka","Kolar","0.61","17.79","0.05","59.74","85.17","38.57","70.87","137.76","94.73","157.96","55.91","12.82"
"65","2012","5","Karnataka","Kolar","1.37","0.28","0.06","8.8","66.79","12.16","46.56","99.5","76.93","105.55","85.7","25.19"
"65","2013","5","Karnataka","Kolar","0.05","3.93","7.46","10.74","106.14","95.54","90.75","60.43","185.82","101.88","102.2","3.87"
"65","2014","5","Karnataka","Kolar","0.07","0.89","1.55","7.82","51.68","97.79","58.96","68.5","157.49","285.65","27.06","7.48"
"65","2015","5","Karnataka","Kolar","8.33","0.06","11.95","44.84","108.4","42.54","66.66","69.32","103.5","62.36","199.64","6.05"
"66","1966","5","Karnataka","Tumkur","7.44","6.96","6.54","6.18","5.86","5.56","5.3","5.07","73.54","106.44","100.69","57.11"
"66","1967","5","Karnataka","Tumkur","3.54","0.0","2.52","13.53","55.64","47.8","117.89","35.35","26.69","100.63","12.33","18.09"
"66","1968","5","Karnataka","Tumkur","0.0","13.28","9.31","43.95","55.52","44.89","42.05","22.6","184.64","98.55","20.08","3.9"
"66","1969","5","Karnataka","Tumkur","0.0","0.0","2.03","32.12","85.67","22.9","50.66","103.72","39.76","167.16","56.78","23.17"
"66","1970","5","Karnataka","Tumkur","22.0","18.3","15.7","13.78","12.28","11.09","10.11","9.3","8.61","102.42","58.12","35.76"
"66","1971","5","Karnataka","Tumkur","26.37","21.13","17.71","15.28","13.45","12.03","10.89","23.36","38.04","41.27","27.67","20.04"
"66","1972","5","Karnataka","Tumkur","16.26","13.85","12.14","10.84","10.06","9.17","8.45","7.83","39.8","46.69","30.31","22.91"
"66","1973","5","Karnataka","Tumkur","18.64","15.8","13.75","12.2","10.97","9.98","9.16","10.35","9.9","60.62","35.59","25.99"
"66","1974","5","Karnataka","Tumkur","0.0","0.0","0.54","21.13","88.23","18.31","71.96","29.28","206.25","130.58","3.93","0.01"
"66","1975","5","Karnataka","Tumkur","0.3","0.98","6.37","21.38","83.51","42.99","107.99","65.36","133.4","152.12","61.91","1.34"
"66","1976","5","Karnataka","Tumkur","0.01","0.0","0.11","67.68","20.48","19.61","38.7","54.04","42.07","46.84","61.06","0.22"
"66","1977","5","Karnataka","Tumkur","0.0","0.8","6.72","51.66","103.62","60.45","44.3","76.1","116.59","220.63","59.71","0.02"
